platform,flesch_ease,fk_grade,fog_index,smog,dale_chall,word_count,avg_sentence_len
meta,30.75781407389897,15.864966565342701,17.7120245879492,15.630424208358889,11.838113033954787,22206,27.7575
tiktok,26.80799493958486,16.01630766734041,18.96319027456072,16.87394839462787,11.65830851566073,4210,26.149068322981368
youtube,37.34861968583414,14.440235668808665,17.551213419092075,15.708648368429305,11.590481682142114,10212,25.722921914357684
x,39.51687273450864,13.408346366071143,16.32727747669396,15.023043277759509,10.849606094219856,5446,22.786610878661087
snapchat,45.95679698114586,12.431718272699918,15.130393709403373,14.041432853509605,10.25927235067584,5438,22.47107438016529
